5.989,1253.000,0.007,4.010,0.000,0.468,1.
5.549,68.000,0.028,0.000,0.000,0.000,1.
0.000,6.000,0.139,0.000,0.000,0.000,1.
7.855,136.000,0.003,0.000,0.000,0.000,1.
4.023,17.000,0.010,4.359,0.000,0.643,1.
3.566,20.000,0.019,3.869,56.092,0.590,1.
4.226,28.000,0.009,4.168,64.426,0.659,1.
4.144,5.000,0.033,0.000,0.000,0.000,1.
3.736,23.000,0.027,4.875,0.000,0.642,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
4.152,33.000,0.036,4.814,0.000,0.769,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
9.207,6.000,0.002,0.000,0.000,0.000,1.
7.805,465.000,0.007,7.667,0.000,0.576,1.
12.330,346.000,0.005,6.458,0.000,0.620,1.
6.910,508.000,0.004,3.861,0.000,0.605,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
4.034,43.000,0.007,0.000,0.000,0.000,1.
48.730,5.000,0.000,0.000,0.000,0.000,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
9.443,723.000,0.012,3.530,35.501,0.525,1.
9.142,235.000,0.002,5.303,0.000,0.597,1.
2.020,6.000,0.045,1.577,15.335,0.730,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
8.183,242.000,0.020,4.136,33.589,0.657,1.
5.488,67.000,0.009,3.329,0.000,0.693,1.
2.887,13.000,0.014,0.000,0.000,0.000,1.
5.944,59.000,0.011,2.148,0.000,0.725,1.
8.202,237.000,0.015,0.000,0.000,0.000,1.
3.803,87.000,0.032,3.045,33.967,0.694,1.
3.552,118.000,0.021,4.773,30.512,0.739,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
4.673,45.000,0.026,4.570,0.000,0.718,1.
2.726,22.000,0.056,0.000,0.000,0.000,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
6.123,148.000,0.019,3.464,0.000,0.706,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
3.542,22.000,0.021,4.975,0.000,0.667,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
14.272,1164.000,0.003,5.498,49.285,0.409,1.
0.000,0.000,0.000,0.000,0.000,0.000,1.
